,full_text,hashtag,id,location,retweet_hashtags,retweet_mentions,user,user_mentions
552,RT @TheFlorey: Congratulations to our @NHMRC Research Fellowship and Career Development Fellowship recipients for 2018! Profs Julie Bernhar…,[],1031071150573383680,Australasia,[],"['NHMRC', 'prof julie bernhardt', 'Yen Ying Lim', 'Scott Ayton']",ANS Aus Neuro Soc,"['The Florey', 'NHMRC']"
553,RT @TheFlorey: Congratulations to our @NHMRC Research Fellowship and Career Development Fellowship recipients for 2018! Profs Julie Bernhar…,[],1030661616143032321,,[],"['NHMRC', 'prof julie bernhardt', 'Yen Ying Lim', 'Scott Ayton']",ASSCR,"['The Florey', 'NHMRC']"
554,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1030541428118769665,"UK, World",[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Exercise Works!,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
555,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1030367755914997760,"Sydney, New South Wales",[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Dr. Caleb Ferguson,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
556,"RT @AAMRI_Aus: VicAAMRI is celebrating the life-changing impact of Victoria’s 14 independent medical research institutes, as they work to f…",[],1030341511668330496,Parkville/Heidelberg,['medicalresearchworks'],"['CERA', 'SVIResearch', 'NARI']",The Florey,['AAMRI']
557,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1030288699995516928,Melbourne,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Dr Janet Bray,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
558,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1030263849251823616,Melbourne ,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Michelle Shannon,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
559,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1030259827253993478,Melbourne,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Carmen LahiffJenkins,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
560,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1030097269452767236,Australia,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Women in STEMM Aust,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
561,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1030055260507725826,Sydney,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Sandy Middleton,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
